route_id,distance_km,base_hours,rainfall_mm,wind_speed_kmh,toll_queue_m,breakdown_flag,actual_hours,is_delayed
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.66,23.8,25.96,0,12.51,0
MUNDRA_TO_BHIWANDI,872.85,11.64,5.09,39.96,136.05,0,13.19,0
JNPT_TO_CHAKAN,136.67,1.75,0.75,13.24,43.32,0,1.92,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.48,34.31,27.3,0,12.84,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.04,31.72,336.69,0,12.64,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,7.91,36.45,155.51,0,13.86,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.6,10.74,50.88,0,10.96,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.45,21.47,188.5,0,1.87,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.74,16.99,49.7,0,13.79,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.68,48.07,102.95,0,12.56,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.09,18.75,402.1,0,2.59,1
JNPT_TO_CHAKAN,136.67,1.75,1.3,56.51,34.95,0,1.92,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.4,22.54,173.17,0,15.33,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.46,39.94,60.35,0,2.3,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.69,40.92,83.99,0,12.18,0
BHIWANDI_TO_CHAKAN,156.03,1.93,2.35,12.07,211.33,0,2.05,0
JNPT_TO_BHIWANDI,67.55,0.92,1.53,25.84,29.81,0,1.05,0
JNPT_TO_CHAKAN,136.67,1.75,0.21,41.97,46.7,0,1.67,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.86,52.11,152.67,0,11.97,0
JNPT_TO_CHAKAN,136.67,1.75,0.01,45.9,69.6,0,2.09,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.63,37.6,201.96,0,12.79,0
JNPT_TO_CHAKAN,136.67,1.75,0.39,41.84,12.21,0,1.67,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.7,54.29,170.1,0,14.41,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.25,50.34,34.14,0,13.48,0
BHIWANDI_TO_CHAKAN,156.03,1.93,8.55,12.64,46.72,0,2.07,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.11,28.4,283.49,0,10.71,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.23,31.19,79.25,0,11.73,0
JNPT_TO_BHIWANDI,67.55,0.92,1.92,31.67,6.91,0,0.83,0
JNPT_TO_BHIWANDI,67.55,0.92,1.97,48.32,3.76,0,0.95,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.43,20.76,204.06,0,12.71,0
JNPT_TO_CHAKAN,136.67,1.75,0.72,44.71,194.89,0,1.98,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.9,10.74,12.12,0,15.02,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.42,33.01,328.48,0,2.41,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.89,44.7,64.12,0,14.26,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.96,50.22,93.41,0,12.39,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.46,22.58,138.25,0,14.01,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.59,43.3,148.91,0,12.64,0
MUNDRA_TO_BHIWANDI,872.85,11.64,2.05,59.42,191.3,0,13.82,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.22,36.53,56.78,0,11.96,0
JNPT_TO_CHAKAN,136.67,1.75,1.56,51.45,28.56,1,4.82,1
JNPT_TO_CHAKAN,136.67,1.75,9.46,41.38,49.31,0,1.74,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.56,24.94,258.6,0,13.08,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.65,51.33,65.41,0,13.07,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.98,43.72,3.25,0,12.18,0
JNPT_TO_CHAKAN,136.67,1.75,4.49,36.36,53.1,0,1.9,0
JNPT_TO_BHIWANDI,67.55,0.92,0.46,54.58,76.04,0,1.1,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.95,41.02,181.99,0,14.02,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.97,20.45,44.79,1,19.47,1
JNPT_TO_CHAKAN,136.67,1.75,9.69,50.75,73.84,0,1.73,0
JNPT_TO_BHIWANDI,67.55,0.92,1.14,58.38,125.97,0,0.97,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.37,33.16,43.19,0,2.19,0
JNPT_TO_CHAKAN,136.67,1.75,0.67,18.45,168.36,0,2.01,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.13,46.29,52.6,0,13.65,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.89,20.3,80.15,0,11.12,0
JNPT_TO_CHAKAN,136.67,1.75,1.63,38.49,21.26,0,1.83,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.57,19.59,27.35,0,10.86,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.42,18.79,148.06,0,13.64,0
JNPT_TO_CHAKAN,136.67,1.75,0.56,31.36,81.13,0,1.69,0
JNPT_TO_CHAKAN,136.67,1.75,0.77,33.03,47.61,0,1.6,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.45,21.13,63.98,0,12.84,0
JNPT_TO_BHIWANDI,67.55,0.92,0.86,57.65,185.69,0,0.94,0
JNPT_TO_BHIWANDI,67.55,0.92,3.72,26.98,21.15,0,1.09,0
JNPT_TO_CHAKAN,136.67,1.75,1.88,17.84,37.11,0,1.84,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.03,37.39,102.16,0,12.42,0
JNPT_TO_BHIWANDI,67.55,0.92,0.91,28.33,7.55,0,0.99,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.05,24.73,27.87,0,11.45,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.02,53.29,316.13,0,12.56,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.25,24.41,20.93,0,14.51,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.66,11.24,43.52,0,2.08,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,15.41,54.36,198.94,0,16.53,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,4.55,20.35,125.88,0,14.28,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.71,49.06,228.47,0,2.02,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.09,57.56,144.41,0,2.27,0
JNPT_TO_CHAKAN,136.67,1.75,1.99,51.13,187.3,0,1.9,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.39,11.4,34.32,0,15.25,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.71,10.2,163.96,0,2.22,0
MUNDRA_TO_BHIWANDI,872.85,11.64,6.24,34.98,138.41,0,10.94,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.46,22.63,16.06,0,12.75,0
MUNDRA_TO_BHIWANDI,872.85,11.64,2.89,34.7,249.24,0,12.7,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.74,46.13,72.11,0,11.01,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.32,31.54,43.69,0,15.81,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,9.73,30.76,57.97,0,13.62,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.16,14.21,63.67,0,1.77,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.09,27.67,89.36,0,15.67,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.91,44.62,98.28,0,2.01,0
JNPT_TO_BHIWANDI,67.55,0.92,0.5,52.43,37.12,1,8.73,1
MUNDRA_TO_BHIWANDI,872.85,11.64,1.31,39.93,119.66,0,11.23,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.81,32.88,6.49,0,12.9,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.97,26.66,196.98,0,12.75,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.89,27.97,80.65,0,2.13,0
JNPT_TO_BHIWANDI,67.55,0.92,0.55,15.97,35.87,0,0.99,0
JNPT_TO_BHIWANDI,67.55,0.92,2.85,40.21,142.19,0,1.02,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.75,42.41,188.38,0,10.77,0
MUNDRA_TO_BHIWANDI,872.85,11.64,2.43,58.03,213.95,0,13.05,0
JNPT_TO_BHIWANDI,67.55,0.92,1.88,17.48,9.13,0,0.89,0
JNPT_TO_BHIWANDI,67.55,0.92,1.22,26.99,93.28,0,0.95,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.12,44.37,277.76,0,2.0,0
JNPT_TO_BHIWANDI,67.55,0.92,0.3,56.46,24.31,0,0.95,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.21,35.66,177.28,0,2.21,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.58,46.73,23.55,0,13.17,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.26,15.55,98.69,0,12.1,0
JNPT_TO_CHAKAN,136.67,1.75,1.56,22.42,5.76,0,2.04,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.62,56.65,6.77,0,2.25,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.48,39.41,235.58,0,10.55,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.64,32.32,110.7,0,1.81,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.21,30.08,160.73,0,11.06,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.43,59.33,341.22,0,15.01,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.16,43.04,49.2,0,15.05,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.58,13.79,104.21,0,12.22,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.51,40.1,118.22,0,12.67,0
JNPT_TO_BHIWANDI,67.55,0.92,1.61,22.16,0.03,0,0.95,0
JNPT_TO_BHIWANDI,67.55,0.92,0.85,38.33,137.43,0,0.93,0
JNPT_TO_CHAKAN,136.67,1.75,3.61,44.21,18.55,0,1.62,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.95,31.51,2.44,0,14.55,0
JNPT_TO_BHIWANDI,67.55,0.92,0.64,44.05,30.14,0,0.97,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.09,43.87,3.04,0,1.93,0
MUNDRA_TO_BHIWANDI,872.85,11.64,5.22,41.66,67.07,0,13.76,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.64,41.84,30.78,0,1.75,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.7,38.54,150.2,0,1.85,0
JNPT_TO_CHAKAN,136.67,1.75,1.37,12.45,7.46,0,1.89,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.52,59.9,25.06,0,11.11,0
BHIWANDI_TO_CHAKAN,156.03,1.93,6.66,33.43,71.44,0,2.01,0
JNPT_TO_CHAKAN,136.67,1.75,1.34,38.37,2.1,0,1.74,0
JNPT_TO_CHAKAN,136.67,1.75,0.71,34.36,108.53,0,2.08,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.15,44.93,107.3,0,13.13,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.25,34.61,16.77,0,12.51,0
JNPT_TO_CHAKAN,136.67,1.75,1.2,42.99,209.21,0,1.98,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.37,44.11,119.2,0,12.74,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.01,19.65,71.3,0,12.74,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.59,36.13,132.01,1,8.9,1
JNPT_TO_CHAKAN,136.67,1.75,1.27,47.12,95.77,0,1.86,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.58,52.67,18.26,0,13.83,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.74,17.87,67.08,0,13.26,0
JNPT_TO_CHAKAN,136.67,1.75,0.13,37.39,218.46,0,1.87,0
JNPT_TO_CHAKAN,136.67,1.75,0.29,21.88,1.66,0,2.06,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.02,48.97,4.45,0,2.06,0
